"name_long","coffee_production_2016","coffee_production_2017"
"Angola",NA,NA
"Bolivia",3,4
"Brazil",3277,2786
"Burundi",37,38
"Cameroon",8,6
"Central African Republic",NA,NA
"Congo, Dem. Rep. of",4,12
"Colombia",1330,1169
"Costa Rica",28,32
"C̫te d'Ivoire",114,130
"Cuba",NA,NA
"Dominican Republic",1,NA
"Ecuador",87,62
"El Salvador",5,8
"Ethiopia",215,283
"Gabon",NA,NA
"Ghana",1,1
"Guatemala",58,70
"Honduras",149,165
"India",453,566
"Indonesia",742,360
"Jamaica",NA,1
"Kenya",60,50
"Liberia",NA,NA
"Madagascar",3,5
"Malawi",3,1
"Mexico",151,220
"Nepal",NA,NA
"Nicaragua",42,45
"Panama",3,3
"Papua New Guinea",114,74
"Paraguay",NA,NA
"Peru",585,625
"Philippines",2,NA
"Rwanda",36,42
"Sierra Leone",1,3
"Tanzania",81,66
"Thailand",39,16
"Timor-Leste",14,2
"Togo",2,3
"Uganda",408,443
"Venezuela",NA,NA
"Vietnam",1844,1700
"Yemen",4,1
"Zambia",3,NA
"Zimbabwe",1,1
"Others",23,26
